time,Ha Noi,Vinh,Da Nang,Nha Trang,Ho Chi Minh,Ca Mau
00 15-9-2019,25.65,24.79,24.01,25.06,25.48,24.97
01 15-9-2019,25.31,24.21,24.02,24.93,25.16,24.83
02 15-9-2019,25.05,23.73,23.89,24.79,24.8,24.55
03 15-9-2019,24.79,23.36,23.83,24.84,24.74,24.48
04 15-9-2019,24.59,23.05,23.69,24.82,24.8,24.38
05 15-9-2019,30.8,22.8,23.52,24.79,24.87,24.4
06 15-9-2019,24.38,22.79,23.68,2.51,24.71,24.41
07 15-9-2019,26.72,25.61,24.92,26.56,25.03,24.91
08 15-9-2019,28.84,26.93,26.51,26.53,25.75,25.85
09 15-9-2019,30.29,28.72,27.48,26.95,26.64,26.79
10 15-9-2019,31.35,29.97,26.96,27.23,27.68,27.53
11 15-9-2019,32.05,28.93,26.86,27.38,28.43,28.98
12 15-9-2019,31.31,28.94,26.65,27.47,28.29,29.24
13 15-9-2019,30.95,30.25,27.83,27.44,58,30.66
14 15-9-2019,30.56,30.62,26.49,27.16,27.67,30.97
15 15-9-2019,31.13,30.58,26.29,26.68,27.29,30.59
16 15-9-2019,30.8,30.2,26.6,26.45,27.29,29.13
17 15-9-2019,29.94,29.36,25.8,26.67,26.69,28.72
18 15-9-2019,28.53,27.48,24.82,25.92,25.81,27.46
19 15-9-2019,28.89,27.03,24.93,25.88,25.93,27.07
20 15-9-2019,28.06,26.41,24.7,25.7,25.97,26.75
21 15-9-2019,27.43,26.2,24.41,25.62,25.94,26.32
22 15-9-2019,26.98,25.79,24.17,25.6,25.9,26.29
23 15-9-2019,26.68,25.31,23.81,25.53,25.8,26.36
